frame_index,timestamp_s,velocity_px_per_analysis_frame
0,0.0,0.0
1,0.5,72.63593
2,1.0,68.53149
3,1.5,63.09431
4,2.0,77.67111
5,2.5,105.66376
6,3.0,87.21802
7,3.5,89.93468
8,4.0,31.82516
9,4.5,71.88068
10,5.0,74.5955
11,5.5,68.01302
12,6.0,29.10581
13,6.5,43.8705
14,7.0,91.94348
15,7.5,67.16853
16,8.0,51.0451
17,8.5,36.24611
18,9.0,37.80408
19,9.5,48.41823
20,10.0,51.91862
21,10.5,57.28618
22,11.0,54.3177
23,11.5,30.08194
24,12.0,68.08403
25,12.5,70.1873
26,13.0,67.82539
27,13.5,56.80885
28,14.0,62.14336
29,14.5,70.47936
30,15.0,58.06717
31,15.5,69.77736
32,16.0,83.96127
33,16.5,56.39125
34,17.0,81.53358
35,17.5,37.89756
36,18.0,81.41419
37,18.5,41.37805
38,19.0,52.82524
39,19.5,37.27271
40,20.0,40.70646
41,20.5,28.77267
42,21.0,58.17191
43,21.5,41.96289
44,22.0,46.84418
45,22.5,28.12439
46,23.0,36.22263
47,23.5,47.98218
48,24.0,48.05897
49,24.5,51.07601
50,25.0,32.19877
51,25.5,35.94506
52,26.0,30.3984
53,26.5,44.31061
54,27.0,79.33012
55,27.5,78.70699
56,28.0,48.40205
57,28.5,67.70738
58,29.0,59.36481
59,29.5,62.28719
60,30.0,66.22785
61,30.5,62.49208
62,31.0,28.67775
63,31.5,47.1904
64,32.0,63.11115
65,32.5,45.42722
66,33.0,63.3643
67,33.5,83.1054
68,34.0,51.65007
69,34.5,57.39543
70,35.0,73.9258
71,35.5,74.38956
72,36.0,93.76834
73,36.5,76.33164
74,37.0,98.44486
75,37.5,35.55345
76,38.0,83.07646
77,38.5,67.05067
78,39.0,77.39668
79,39.5,46.88424
80,40.0,41.64692
81,40.5,77.61658
82,41.0,28.07753
83,41.5,57.44849
84,42.0,72.91502
85,42.5,75.61118
86,43.0,79.06116
87,43.5,56.37484
88,44.0,73.80326
89,44.5,79.00287
90,45.0,89.37157
91,45.5,78.6335
92,46.0,72.0747
93,46.5,62.48026
94,47.0,56.31477
95,47.5,79.81865
96,48.0,78.65231
97,48.5,76.01154
98,49.0,107.33379
99,49.5,92.3031
100,50.0,79.01617
101,50.5,81.62561
102,51.0,84.66699
103,51.5,92.53149
104,52.0,108.7706
105,52.5,93.10639
106,53.0,78.81481
107,53.5,66.21661
108,54.0,62.60555
109,54.5,61.85194
110,55.0,59.27774
111,55.5,53.94524
112,56.0,55.01992
113,56.5,82.90431
114,57.0,77.74986
115,57.5,61.36417
116,58.0,52.88629
117,58.5,68.41564
118,59.0,46.98084
119,59.5,79.07355
120,60.0,76.90231
121,60.5,97.26257
122,61.0,76.65279
123,61.5,70.17973
124,62.0,87.45232
125,62.5,53.22477
126,63.0,80.75375
127,63.5,28.06801
128,64.0,41.66319
129,64.5,62.06264
130,65.0,68.66636
131,65.5,65.90913
132,66.0,82.39168
133,66.5,53.21562
134,67.0,64.69719
135,67.5,33.28769
136,68.0,47.96745
137,68.5,75.98184
138,69.0,76.16309
139,69.5,74.43526
140,70.0,58.68504
141,70.5,77.78968
142,71.0,86.56091
143,71.5,59.78489
144,72.0,43.5494
145,72.5,36.64099
146,73.0,85.87457
147,73.5,84.3662
148,74.0,49.70495
149,74.5,36.20766
150,75.0,17.70621
151,75.5,39.3826
152,76.0,53.2417
153,76.5,41.34735
154,77.0,16.81119
155,77.5,54.97859
156,78.0,58.12637
157,78.5,57.04014
158,79.0,80.82315
159,79.5,70.09988
160,80.0,74.75102
161,80.5,40.3264
162,81.0,88.68327
163,81.5,77.5138
164,82.0,72.1335
165,82.5,67.75487
166,83.0,81.5238
167,83.5,72.55437
168,84.0,66.11554
169,84.5,59.56651
170,85.0,68.17828
171,85.5,81.45424
172,86.0,66.85033
173,86.5,48.50395
174,87.0,55.90918
175,87.5,78.53579
176,88.0,74.60945
177,88.5,75.26103
178,89.0,77.334
179,89.5,64.78746
180,90.0,81.68095
181,90.5,95.19722
182,91.0,91.26397
183,91.5,42.26217
184,92.0,77.43077
185,92.5,55.37025
186,93.0,39.80695
187,93.5,64.57963
188,94.0,69.17104
189,94.5,34.55746
190,95.0,45.82683
191,95.5,66.61591
192,96.0,59.43651
193,96.5,77.64922
194,97.0,88.41611
195,97.5,88.85075
196,98.0,40.27881
197,98.5,85.81054
198,99.0,90.06176
199,99.5,85.62648
200,100.0,89.509
201,100.5,59.66019
202,101.0,28.79081
203,101.5,67.50392
204,102.0,80.37149
205,102.5,71.79578
206,103.0,69.81734
207,103.5,53.76161
208,104.0,87.71912
209,104.5,79.4375
210,105.0,71.37425
211,105.5,72.62328
212,106.0,66.70477
213,106.5,76.92999
214,107.0,76.48492
215,107.5,99.51747
216,108.0,79.01482
217,108.5,90.9427
218,109.0,84.79263
219,109.5,76.42693
220,110.0,78.4828
221,110.5,91.41968
222,111.0,96.81164
223,111.5,76.37482
224,112.0,53.53665
225,112.5,46.90826
226,113.0,51.67032
227,113.5,51.88458
228,114.0,81.61187
229,114.5,75.6252
230,115.0,94.01043
231,115.5,69.70293
232,116.0,96.50591
233,116.5,64.01365
234,117.0,72.95774
235,117.5,81.8083
236,118.0,53.44934
237,118.5,81.55372
238,119.0,69.86021
239,119.5,95.9095
240,120.0,58.52831
241,120.5,94.52819
242,121.0,72.45496
243,121.5,66.29329
244,122.0,79.90486
245,122.5,67.63869
246,123.0,57.78204
247,123.5,60.83698
248,124.0,69.7402
249,124.5,81.95959
250,125.0,77.88731
251,125.5,57.35384
252,126.0,81.44931
253,126.5,83.1884
254,127.0,62.88253
255,127.5,85.38945
256,128.0,91.66939
257,128.5,65.46216
258,129.0,65.42366
259,129.5,64.74622
260,130.0,67.41902
261,130.5,54.99801
262,131.0,83.90907
263,131.5,62.83081
264,132.0,71.15618
265,132.5,84.55814
266,133.0,81.96171
267,133.5,68.99258
268,134.0,61.76451
269,134.5,75.83565
270,135.0,89.95907
271,135.5,78.61008
272,136.0,89.07301
273,136.5,77.48463
274,137.0,32.02841
275,137.5,68.71474
276,138.0,74.48343
277,138.5,43.87284
278,139.0,73.78617
279,139.5,70.61967
280,140.0,29.97797
281,140.5,79.06915
282,141.0,60.19266
283,141.5,78.22335
284,142.0,52.26047
285,142.5,102.25204
286,143.0,94.94446
287,143.5,68.4073
288,144.0,30.65054
289,144.5,33.93736
290,145.0,38.68135
291,145.5,50.17672
292,146.0,44.51466
293,146.5,96.23715
294,147.0,109.1953
295,147.5,76.82379
296,148.0,81.17676
297,148.5,76.0541
298,149.0,80.99023
299,149.5,84.00318
300,150.0,73.18335
301,150.5,65.48391
302,151.0,67.73521
303,151.5,56.59015
304,152.0,38.27092
305,152.5,62.64825
306,153.0,61.69003
307,153.5,69.38742
308,154.0,44.0944
309,154.5,52.01082
310,155.0,68.52805
311,155.5,64.77002
312,156.0,80.24231
313,156.5,83.0387
314,157.0,81.2831
315,157.5,57.83154
316,158.0,80.68741
317,158.5,60.48371
318,159.0,122.64824
319,159.5,94.54379
320,160.0,56.67539
321,160.5,65.98201
322,161.0,67.90348
323,161.5,67.54178
324,162.0,65.70483
325,162.5,79.12965
326,163.0,95.87254
327,163.5,88.11282
328,164.0,73.78063
329,164.5,40.35317
330,165.0,71.25674
331,165.5,82.33717
332,166.0,49.38684
333,166.5,72.55434
334,167.0,79.24374
335,167.5,87.15652
336,168.0,64.6131
337,168.5,79.29826
338,169.0,86.38768
339,169.5,74.77203
340,170.0,74.33788
341,170.5,73.64803
342,171.0,85.68526
343,171.5,59.58581
344,172.0,49.34399
345,172.5,70.02795
346,173.0,54.92253
347,173.5,74.01044
348,174.0,35.99392
349,174.5,56.12696
350,175.0,66.82926
351,175.5,53.17005
352,176.0,51.801
353,176.5,59.37656
354,177.0,54.18279
355,177.5,47.50053
356,178.0,48.17754
357,178.5,45.67353
358,179.0,51.29004
359,179.5,64.04809
360,180.0,51.05404
361,180.5,35.13046
362,181.0,30.5859
363,181.5,87.80566
364,182.0,80.38252
365,182.5,81.87377
366,183.0,62.16486
367,183.5,70.49464
368,184.0,72.81146
369,184.5,39.71229
370,185.0,45.43167
371,185.5,38.71788
372,186.0,53.84452
373,186.5,34.15564
374,187.0,39.66735
375,187.5,42.23968
376,188.0,47.46204
377,188.5,46.86385
378,189.0,36.50257
379,189.5,44.01275
380,190.0,50.19728
381,190.5,48.00403
382,191.0,50.24241
383,191.5,43.1901
384,192.0,42.60315
385,192.5,59.71623
386,193.0,24.65134
387,193.5,33.25177
388,194.0,43.21644
389,194.5,74.85193
390,195.0,73.14038
391,195.5,67.94341
392,196.0,68.22437
393,196.5,55.75962
394,197.0,57.2773
395,197.5,51.00434
396,198.0,49.0913
397,198.5,49.60936
398,199.0,27.76057
399,199.5,31.78401
400,200.0,82.60115
401,200.5,71.31344
402,201.0,61.64946
403,201.5,55.49198
404,202.0,35.97374
405,202.5,82.486
406,203.0,84.53714
407,203.5,66.98615
408,204.0,79.70943
409,204.5,67.79758
410,205.0,77.06396
411,205.5,72.18196
412,206.0,46.93843
413,206.5,78.82801
414,207.0,64.74696
